Ensembl ID	Clone_based_ensembl_transcript ID
ENSG00000123965	AC004166.5-001
ENSG00000124224	RP11-196N14.1-001
ENSG00000124224	RP11-196N14.1-002
ENSG00000124224	RP11-196N14.1-003
ENSG00000124224	RP11-196N14.1-004
ENSG00000124224	RP11-196N14.1-005
ENSG00000124224	RP11-196N14.1-007
ENSG00000124224	RP11-196N14.1-008
ENSG00000124224	RP11-196N14.1-009
ENSG00000124224	RP11-196N14.1-011
ENSG00000124224	RP11-196N14.1-012
ENSG00000124399	RP11-663P9.2-001
ENSG00000124549	RP1-45P21.3-001
ENSG00000124549	RP1-45P21.3-002
ENSG00000124549	RP1-45P21.3-003
ENSG00000124549	RP1-45P21.3-004
ENSG00000124549	RP1-45P21.3-005
ENSG00000124593	RP11-298J23.10-001
ENSG00000124593	RP11-298J23.10-002
ENSG00000124593	RP11-298J23.10-003
ENSG00000124602	RP1-34B21.5-001
ENSG00000124602	RP1-34B21.5-002
ENSG00000124835	AC105760.3-001
ENSG00000124915	RP11-467L20.10-001
ENSG00000124915	RP11-467L20.10-002
ENSG00000124915	RP11-467L20.10-003
ENSG00000125385	RP11-297B17.2-001
ENSG00000125631	AC009404.5-001
ENSG00000125631	AC009404.5-002
ENSG00000125695	RP11-51F16.8-001
ENSG00000126005	RP4-614O4.5-001
ENSG00000126005	RP4-614O4.5-002
ENSG00000126005	RP4-614O4.5-003
ENSG00000126005	RP4-614O4.5-005
ENSG00000126005	RP4-614O4.5-006
ENSG00000126005	RP4-614O4.5-007
ENSG00000126005	RP4-614O4.5-008
ENSG00000126005	RP4-614O4.5-009
ENSG00000126005	RP4-614O4.5-010
ENSG00000126005	RP4-614O4.5-011
ENSG00000128692	AC007405.5-001
ENSG00000131152	RP11-178L8.4-001
ENSG00000131484	RP11-798G7.5-001
ENSG00000131982	RP11-84D7.1-001
ENSG00000132832	RP11-445H22.3-001
ENSG00000132832	RP11-445H22.3-002
ENSG00000132967	AC121253.1-001
ENSG00000132967	AC121253.1-002
ENSG00000134297	RP11-139E19.1-001
ENSG00000134297	RP11-139E19.1-002
ENSG00000134297	RP11-139E19.1-003
ENSG00000134297	RP11-139E19.1-004
ENSG00000135175	AC004967.5-001
ENSG00000135175	AC004967.5-002
ENSG00000135477	RP11-845M18.1-001
ENSG00000135477	RP11-845M18.1-002
ENSG00000135747	RP11-397A15.5-001
ENSG00000135747	RP11-397A15.5-002
ENSG00000136051	RP11-61E11.3-001
ENSG00000136051	RP11-61E11.3-002
ENSG00000136051	RP11-61E11.3-003
ENSG00000136051	RP11-61E11.3-004
ENSG00000136051	RP11-61E11.3-005
ENSG00000136051	RP11-61E11.3-006
ENSG00000136051	RP11-61E11.3-007
ENSG00000136051	RP11-61E11.3-008
ENSG00000136051	RP11-61E11.3-009
ENSG00000136051	RP11-61E11.3-010
ENSG00000136051	RP11-61E11.3-011
ENSG00000136051	RP11-61E11.3-012
ENSG00000136051	RP11-61E11.3-013
ENSG00000136149	RP11-365K22.1-001
ENSG00000136315	RP11-84C10.2-001
ENSG00000137674	RP11-817J15.1-001
ENSG00000137674	RP11-817J15.1-002
ENSG00000137674	RP11-817J15.1-003
ENSG00000137808	RP11-809H16.2-003
ENSG00000137970	RP11-122C9.1-001
ENSG00000141854	CTB-55O6.8-001
ENSG00000141854	CTB-55O6.8-002
ENSG00000141854	CTB-55O6.8-003
ENSG00000141979	CTD-3222D19.2-001
ENSG00000142539	CTD-2545M3.6-001
ENSG00000143429	AC027612.6-001
ENSG00000143429	AC027612.6-002
ENSG00000143429	AC027612.6-003
ENSG00000143429	AC027612.6-004
ENSG00000143429	AC027612.6-005
ENSG00000143429	AC027612.6-006
ENSG00000143674	RP5-862P8.2-001
ENSG00000143674	RP5-862P8.2-002
ENSG00000143674	RP5-862P8.2-003
ENSG00000144010	AC009237.3-001
ENSG00000144158	RP11-395L14.17-001
ENSG00000144188	AC018892.4-001
ENSG00000144785	RP11-977G19.10-001
ENSG00000144785	RP11-977G19.10-002
ENSG00000144785	RP11-977G19.10-003
ENSG00000145063	AC062028.1-001
ENSG00000145063	AC062028.1-002
ENSG00000145063	AC062028.1-003
ENSG00000145063	AC062028.1-004
ENSG00000145063	AC062028.1-005
ENSG00000145835	AC011740.3-001
ENSG00000145911	RP11-889L3.3-001
ENSG00000146197	RP3-329A5.4-001
ENSG00000146243	RP11-173D14.1-001
ENSG00000146243	RP11-173D14.1-002
ENSG00000146243	RP11-173D14.1-003
ENSG00000146243	RP11-173D14.1-004
ENSG00000146281	RP11-63L7.4-001
ENSG00000146666	AC019066.3-001
ENSG00000146677	AC004453.8-001
ENSG00000146722	AC006014.8-001
ENSG00000146722	AC006014.8-002
ENSG00000150175	FRMPD2L2-001
ENSG00000150276	RP11-431O22.2-001
ENSG00000150732	RP11-134C1.1-001
ENSG00000151303	RP11-96C23.13-001
ENSG00000151631	RP11-397P14.3-001
ENSG00000151963	RP11-775A3.1-001
ENSG00000152117	AC093838.4-001
ENSG00000152117	AC093838.4-003
ENSG00000152487	RP11-139J15.2-001
ENSG00000152487	RP11-139J15.2-002
ENSG00000152487	RP11-139J15.2-003
ENSG00000152487	RP11-139J15.2-004
ENSG00000152487	RP11-139J15.2-005
ENSG00000154198	RP4-732G19.2-001
ENSG00000154198	RP4-732G19.2-002
ENSG00000155070	AC079804.8-001
ENSG00000157021	RP11-118J16.1-001
ENSG00000157306	RP11-66N24.4-001
ENSG00000157306	RP11-66N24.4-002
ENSG00000157306	RP11-66N24.4-003
ENSG00000157306	RP11-66N24.4-004
ENSG00000157306	RP11-66N24.4-005
ENSG00000158482	CTD-2547E10.4-001
ENSG00000159186	AC007383.6-001
ENSG00000159712	RP11-498P14.2-001
ENSG00000159753	RP11-167P11.3-001
ENSG00000159753	RP11-167P11.3-002
ENSG00000159753	RP11-167P11.3-003
ENSG00000159753	RP11-167P11.3-004
ENSG00000159753	RP11-167P11.3-005
ENSG00000159753	RP11-167P11.3-006
ENSG00000159753	RP11-167P11.3-007
ENSG00000159753	RP11-167P11.3-008
ENSG00000159753	RP11-167P11.3-009
ENSG00000159753	RP11-167P11.3-010
ENSG00000159753	RP11-167P11.3-012
ENSG00000159753	RP11-167P11.3-013
ENSG00000159860	AC099548.6-001
ENSG00000159904	RP11-527E14.1-001
ENSG00000159904	RP11-527E14.1-002
ENSG00000161103	AC008132.13-001
ENSG00000161103	AC008132.13-002
ENSG00000161103	AC008132.13-004
ENSG00000161103	AC008132.13-006
ENSG00000161132	XXbac-B444P24.10-001
ENSG00000161149	AC002472.8-001
ENSG00000161149	AC002472.8-002
ENSG00000161149	AC002472.8-003
ENSG00000161912	RP1-34B21.6-001
ENSG00000161912	RP1-34B21.6-002
ENSG00000161912	RP1-34B21.6-003
ENSG00000162685	CTD-2269E23.1-001
ENSG00000162699	RP11-82O2.1-001
ENSG00000162840	RP11-4I17.1-001
ENSG00000162947	AC007364.1-001
ENSG00000162947	AC007364.1-002
ENSG00000163364	AC017048.3-001
ENSG00000163364	AC017048.3-002
ENSG00000163945	RP11-1244E8.1-001
ENSG00000163945	RP11-1244E8.1-002
ENSG00000163945	RP11-1244E8.1-003
ENSG00000163945	RP11-1244E8.1-004
ENSG00000163945	RP11-1244E8.1-005
ENSG00000163945	RP11-1244E8.1-006
ENSG00000163945	RP11-1244E8.1-009
ENSG00000163945	RP11-1244E8.1-010
ENSG00000164151	CTC-501N16.1-001
ENSG00000164151	CTC-501N16.1-004
ENSG00000164151	CTC-501N16.1-005
ENSG00000164740	RP5-1193P9.3-001
ENSG00000164845	RP11-266K4.8-001
ENSG00000164845	RP11-266K4.8-002
ENSG00000165121	RP11-213G2.3-001
ENSG00000166007	RP11-72M10.6-001
ENSG00000166007	RP11-72M10.6-002
ENSG00000166104	RP11-299H22.3-001
ENSG00000166104	RP11-299H22.3-002
ENSG00000166104	RP11-299H22.3-004
ENSG00000166104	RP11-299H22.3-005
ENSG00000166492	AC123788.4-001
ENSG00000166503	RP11-382A20.3-001
ENSG00000166503	RP11-382A20.3-002
ENSG00000166503	RP11-382A20.3-003
ENSG00000166503	RP11-382A20.3-004
ENSG00000166503	RP11-382A20.3-005
ENSG00000166503	RP11-382A20.3-006
ENSG00000166530	RP11-433B3.2-001
ENSG00000166763	AC011330.8-001
ENSG00000166770	AC004696.2-001
ENSG00000166770	AC004696.2-002
ENSG00000166770	AC004696.2-003
ENSG00000166770	AC004696.2-004
ENSG00000166770	AC004696.2-005
ENSG00000166770	AC004696.2-006
ENSG00000166770	AC004696.2-007
ENSG00000166770	AC004696.2-008
ENSG00000166770	AC004696.2-009
ENSG00000166787	RP11-113D6.5-001
ENSG00000166787	RP11-113D6.5-002
ENSG00000166917	RP13-49I15.5-001
ENSG00000166917	RP13-49I15.5-002
ENSG00000167046	RP11-93B14.6-001
ENSG00000167355	AC104389.28-001
ENSG00000167355	AC104389.28-002
ENSG00000167355	AC104389.28-003
ENSG00000167355	AC104389.28-004
ENSG00000167459	AC114273.1-001
ENSG00000167459	AC114273.1-002
ENSG00000167459	AC114273.1-003
ENSG00000167459	AC114273.1-004
ENSG00000167459	AC114273.1-006
ENSG00000167459	AC114273.1-007
ENSG00000167459	AC114273.1-008
ENSG00000167674	CTB-50L17.10-001
ENSG00000167674	CTB-50L17.10-002
ENSG00000167674	CTB-50L17.10-003
ENSG00000167674	CTB-50L17.10-004
ENSG00000167674	CTB-50L17.10-005
ENSG00000167674	CTB-50L17.10-007
ENSG00000167674	CTB-50L17.10-008
ENSG00000167674	CTB-50L17.10-009
ENSG00000167674	CTB-50L17.10-010
ENSG00000167674	CTB-50L17.10-011
ENSG00000167774	CTD-2550O8.5-001
ENSG00000167807	CTD-2369P2.10-001
ENSG00000167807	CTD-2369P2.10-002
ENSG00000167912	RP11-25K19.1-001
ENSG00000167912	RP11-25K19.1-002
ENSG00000167912	RP11-25K19.1-003
ENSG00000168129	AC098817.5-001
ENSG00000168367	RP11-158I3.2-001
ENSG00000168367	RP11-158I3.2-002
ENSG00000168367	RP11-158I3.2-003
ENSG00000168367	RP11-158I3.2-004
ENSG00000168367	RP11-158I3.2-005
ENSG00000168367	RP11-158I3.2-006
ENSG00000168367	RP11-158I3.2-007
ENSG00000168630	RP3-447F3.6-001
ENSG00000168852	RP11-346L13.3-001
ENSG00000168852	RP11-346L13.3-002
ENSG00000168852	RP11-346L13.3-003
ENSG00000169075	RP3-509L4.3-001
ENSG00000169164	RP11-167P23.2-001
ENSG00000169164	RP11-167P23.2-002
ENSG00000169203	RP11-231C14.4-001
ENSG00000169203	RP11-231C14.4-003
ENSG00000169203	RP11-231C14.4-004
ENSG00000169203	RP11-231C14.4-005
ENSG00000169203	RP11-231C14.4-006
ENSG00000169203	RP11-231C14.4-007
ENSG00000169203	RP11-231C14.4-008
ENSG00000169203	RP11-231C14.4-201
ENSG00000169203	RP11-231C14.4-202
ENSG00000169253	RP11-220D10.1-001
ENSG00000169325	RP11-1217F2.14-001
ENSG00000169662	KB-1183D5.12-001
ENSG00000169668	AP000550.1-001
ENSG00000169668	AP000550.1-002
ENSG00000169668	AP000550.1-003
ENSG00000169668	AP000550.1-004
ENSG00000169849	AC010141.2-001
ENSG00000170089	RP11-423H2.1-001
ENSG00000170089	RP11-423H2.1-002
ENSG00000170089	RP11-423H2.1-003
ENSG00000170089	RP11-423H2.1-004
ENSG00000170089	RP11-423H2.1-005
ENSG00000170089	RP11-423H2.1-006
ENSG00000170089	RP11-423H2.1-007
ENSG00000170089	RP11-423H2.1-008
ENSG00000170089	RP11-423H2.1-009
ENSG00000170089	RP11-423H2.1-010
ENSG00000170089	RP11-423H2.1-011
ENSG00000170089	RP11-423H2.1-012
ENSG00000170089	RP11-423H2.1-013
ENSG00000170152	RP11-374M1.7-001
ENSG00000170161	RP11-262H14.4-001
ENSG00000170161	RP11-262H14.4-002
ENSG00000170161	RP11-262H14.4-003
ENSG00000170165	CR848007.2-001
ENSG00000170409	CTA-313A17.2-001
ENSG00000170846	AC093323.3-001
ENSG00000170846	AC093323.3-002
ENSG00000171084	RP11-666A20.1-001
ENSG00000171084	RP11-666A20.1-002
ENSG00000171084	RP11-666A20.1-003
ENSG00000171084	RP11-666A20.1-004
ENSG00000171658	RP11-443P15.2-001
ENSG00000171658	RP11-443P15.2-002
ENSG00000171658	RP11-443P15.2-004
ENSG00000171658	RP11-443P15.2-005
ENSG00000171658	RP11-443P15.2-006
ENSG00000171658	RP11-443P15.2-007
ENSG00000171658	RP11-443P15.2-008
ENSG00000171889	RP11-354P17.9-001
ENSG00000172148	AC005255.6-001
ENSG00000172186	RP13-55H22.2-001
ENSG00000172294	AC006328.7-001
ENSG00000172297	AC006328.5-001
ENSG00000172342	AC023274.7-001
ENSG00000172746	RP11-344H11.4-001
ENSG00000172799	AC017104.3-001
ENSG00000172900	AP002387.1-001
ENSG00000172900	AP002387.1-002
ENSG00000172900	AP002387.1-003
ENSG00000172965	AC068491.1-001
ENSG00000172965	AC068491.1-004
ENSG00000172965	AC068491.1-005
ENSG00000172965	AC068491.1-006
ENSG00000172965	AC068491.1-007
ENSG00000172965	AC068491.1-009
ENSG00000172965	AC068491.1-010
ENSG00000172965	AC068491.1-011
ENSG00000172965	AC068491.1-012
ENSG00000172965	AC068491.1-013
ENSG00000172965	AC068491.1-014
ENSG00000172965	AC068491.1-015
ENSG00000172965	AC068491.1-016
ENSG00000172965	AC068491.1-017
ENSG00000172965	AC068491.1-018
ENSG00000172965	AC068491.1-019
ENSG00000172965	AC068491.1-020
ENSG00000172965	AC068491.1-021
ENSG00000172965	AC068491.1-022
ENSG00000172965	AC068491.1-023
ENSG00000172971	RP11-413E6.3-001
ENSG00000172974	AC007318.5-001
ENSG00000173213	RP11-683L23.1-002
ENSG00000173213	RP11-683L23.1-003
ENSG00000173213	RP11-683L23.1-004
ENSG00000173213	RP11-683L23.1-005
ENSG00000173213	RP11-683L23.1-201
ENSG00000173295	RP11-556O5.3-001
ENSG00000173295	RP11-556O5.3-002
ENSG00000173295	RP11-556O5.3-003
ENSG00000173295	RP11-556O5.3-004
ENSG00000173295	RP11-556O5.3-005
ENSG00000173295	RP11-556O5.3-006
ENSG00000173295	RP11-556O5.3-007
ENSG00000173295	RP11-556O5.3-008
ENSG00000173357	AC007967.3-001
ENSG00000173357	AC007967.3-002
ENSG00000173366	RP11-330H6.5-001
ENSG00000173366	RP11-330H6.5-002
ENSG00000173727	CMB9-22P13.1-001
ENSG00000173727	CMB9-22P13.1-002
ENSG00000173810	RP4-575N6.3-001
ENSG00000173811	RP4-613B23.4-001
ENSG00000173811	RP4-613B23.4-002
ENSG00000173862	RP11-89N17.1-001
ENSG00000173867	RP11-97O12.7-001
ENSG00000173867	RP11-97O12.7-002
ENSG00000173966	RP11-18M17.1-001
ENSG00000174171	RP11-23P13.6-001
ENSG00000174171	RP11-23P13.6-002
ENSG00000174171	RP11-23P13.6-004
ENSG00000174171	RP11-23P13.6-005
ENSG00000174384	RP11-313P13.4-001
ENSG00000174408	RP11-282A11.1-001
ENSG00000174418	RP11-165M6.3-001
ENSG00000174495	AC005017.2-001
ENSG00000174572	RP11-209A2.1-001
ENSG00000174715	RP11-79L9.2-001
ENSG00000174912	RP11-392A22.1-001
ENSG00000174930	AC067721.2-001
ENSG00000174977	AC026271.5-001
ENSG00000175319	RP11-681B3.3-001
ENSG00000175509	RP11-395L14.13-001
ENSG00000175604	RP11-276H1.3-001
ENSG00000175658	RP11-14N7.1-001
ENSG00000175741	AC093081.2-001
ENSG00000175749	CTC-425H14.1-001
ENSG00000175772	AC112229.7-002
ENSG00000175772	AC112229.7-003
ENSG00000175773	RP11-121M22.1-002
ENSG00000175773	RP11-121M22.1-003
ENSG00000175773	RP11-121M22.1-004
ENSG00000175773	RP11-121M22.1-005
ENSG00000175873	AC004840.9-001
ENSG00000175886	AC011139.1-001
ENSG00000175898	CTD-2369P2.2-001
ENSG00000175898	CTD-2369P2.2-002
ENSG00000175967	RP11-544L8__B.4-001
ENSG00000176007	RP11-392E22.7-001
ENSG00000176043	RP1-146I3.1-001
ENSG00000176134	RP11-574E24.3-001
ENSG00000176134	RP11-574E24.3-002
ENSG00000176183	CH17-12M21.1-001
ENSG00000176232	RP5-1193P9.4-001
ENSG00000176243	RP11-346M10.2-001
ENSG00000176318	RP5-1100E15.2-001
ENSG00000176320	RP11-404O13.5-001
ENSG00000176349	AC110781.3-001
ENSG00000176349	AC110781.3-002
ENSG00000176378	RP11-293F5.6-001
ENSG00000176515	RP5-856G1.2-001
ENSG00000176584	RP11-318C4.2-001
ENSG00000176584	RP11-318C4.2-002
ENSG00000176584	RP11-318C4.2-003
ENSG00000176593	CTD-2368P22.1-001
ENSG00000176593	CTD-2368P22.1-002
ENSG00000176593	CTD-2368P22.1-003
ENSG00000176593	CTD-2368P22.1-004
ENSG00000176593	CTD-2368P22.1-005
ENSG00000176593	CTD-2368P22.1-006
ENSG00000176812	RP11-629O4.1-001
ENSG00000176855	RP11-505O17.2-001
ENSG00000176857	CTC-298B17.1-001
ENSG00000176868	RP11-334J6.7-001
ENSG00000176868	RP11-334J6.7-201
ENSG00000176882	RP11-432M24.4-001
ENSG00000176912	RP11-806L2.3-001
ENSG00000176912	RP11-806L2.3-002
ENSG00000176933	AL022393.3-001
ENSG00000176970	AC002368.2-001
ENSG00000176984	AP000679.2-001
ENSG00000176984	AP000679.2-002
ENSG00000177112	RP11-58H20.3-001
ENSG00000177112	RP11-58H20.3-002
ENSG00000177112	RP11-58H20.3-003
ENSG00000177133	RP1-163G9.1-001
ENSG00000177133	RP1-163G9.1-002
ENSG00000177133	RP1-163G9.1-003
ENSG00000177133	RP1-163G9.1-004
ENSG00000177133	RP1-163G9.1-005
ENSG00000177133	RP1-163G9.1-006
ENSG00000177133	RP1-163G9.1-007
ENSG00000177173	RP5-1086K13.3-001
ENSG00000177197	RP11-305D15.5-001
ENSG00000177261	AC016708.1-001
ENSG00000177337	RP11-874J12.2-001
ENSG00000177337	RP11-874J12.2-002
ENSG00000177337	RP11-874J12.2-003
ENSG00000177337	RP11-874J12.2-004
ENSG00000177337	RP11-874J12.2-005
ENSG00000177337	RP11-874J12.2-006
ENSG00000177340	RP11-627K11.7-001
ENSG00000177359	RP11-551L14.1-001
ENSG00000177359	RP11-551L14.1-002
ENSG00000177359	RP11-551L14.1-003
ENSG00000177359	RP11-551L14.1-004
ENSG00000177369	RP1-62O9.3-001
ENSG00000177369	RP1-62O9.3-002
ENSG00000177369	RP1-62O9.3-003
ENSG00000177406	RP11-218M22.1-001
ENSG00000177406	RP11-218M22.1-002
ENSG00000177406	RP11-218M22.1-003
ENSG00000177418	RP4-756H11.4-001
ENSG00000177447	AC103796.1-001
ENSG00000177452	RP4-597J3.1-001
ENSG00000177553	RP11-56N19.5-001
ENSG00000177590	RP5-1051J4.6-001
ENSG00000177596	RP11-512C24.3-001
ENSG00000177699	RP11-16K12.1-001
ENSG00000177725	CTD-2530N21.5-001
ENSG00000177725	CTD-2530N21.5-201
ENSG00000177736	RP11-474P12.3-001
ENSG00000177738	CTD-2201E18.3-001
ENSG00000177738	CTD-2201E18.3-002
ENSG00000177738	CTD-2201E18.3-003
ENSG00000177770	RP11-118H4.2-001
ENSG00000177788	RP5-1061H20.4-001
ENSG00000177788	RP5-1061H20.4-002
ENSG00000177803	RP11-606P2.1-001
ENSG00000177822	AC108142.1-001
ENSG00000177822	AC108142.1-002
ENSG00000177822	AC108142.1-003
ENSG00000177822	AC108142.1-004
ENSG00000177822	AC108142.1-005
ENSG00000177822	AC108142.1-006
ENSG00000177822	AC108142.1-007
ENSG00000177822	AC108142.1-008
ENSG00000177855	AC074182.1-001
ENSG00000177910	RP11-345K9.1-001
ENSG00000177993	CTA-747E2.11-001
ENSG00000178107	RP11-998D10.4-001
ENSG00000178146	RP1-232L22__B.1-001
ENSG00000178162	AC140481.1-001
ENSG00000178162	AC140481.1-002
ENSG00000178162	AC140481.1-003
ENSG00000178162	AC140481.1-004
ENSG00000178162	AC140481.1-005
ENSG00000178162	AC140481.1-006
ENSG00000178162	AC140481.1-007
ENSG00000178162	AC140481.1-008
ENSG00000178193	RP4-682C21.5-001
ENSG00000178248	AP000345.1-001
ENSG00000178404	CTD-2373H9.6-001
ENSG00000178404	CTD-2373H9.6-002
ENSG00000178404	CTD-2373H9.6-003
ENSG00000178404	CTD-2373H9.6-004
ENSG00000178412	RP11-567M16.3-001
ENSG00000178440	RP11-324H6.6-001
ENSG00000178440	RP11-324H6.6-002
ENSG00000178458	RP11-308D13.2-001
ENSG00000178464	CTD-2192J16.15-001
ENSG00000178503	AC009530.1-001
ENSG00000178596	RP11-148B18.2-001
ENSG00000178636	RP11-455G16.1-001
ENSG00000178636	RP11-455G16.1-002
ENSG00000178636	RP11-455G16.1-003
ENSG00000178654	RP11-366I21.1-001
ENSG00000178660	RP11-668N23.1-001
ENSG00000178715	RP11-169K16.8-001
ENSG00000178723	RP11-392A14.2-001
ENSG00000178836	AC114812.5-001
ENSG00000178836	AC114812.5-002
ENSG00000178836	AC114812.5-003
ENSG00000178836	AC114812.5-004
ENSG00000179028	RP11-363G10.2-001
ENSG00000179031	LL0XNC01-131B10.2-001
ENSG00000179038	RP11-157K17.5-001
ENSG00000179038	RP11-157K17.5-002
ENSG00000179066	CTD-2527I21.15-001
ENSG00000179066	CTD-2527I21.15-201
ENSG00000179101	RP11-349N19.2-001
ENSG00000179131	RP11-458F8.3-001
ENSG00000179141	RP11-274A8.2-001
ENSG00000179141	RP11-274A8.2-002
ENSG00000179157	RP11-480N24.6-001
ENSG00000179240	RP11-111M22.2-001
ENSG00000179240	RP11-111M22.2-002
ENSG00000179240	RP11-111M22.2-003
ENSG00000179240	RP11-111M22.2-004
ENSG00000179240	RP11-111M22.2-005
ENSG00000179240	RP11-111M22.2-006
ENSG00000179240	RP11-111M22.2-201
ENSG00000179253	RP11-429E11.3-001
ENSG00000179342	GS1-124K5.9-001
ENSG00000179362	RP11-96O20.1-001
ENSG00000179362	RP11-96O20.1-002
ENSG00000179362	RP11-96O20.1-003
ENSG00000179362	RP11-96O20.1-004
ENSG00000179362	RP11-96O20.1-005
ENSG00000179362	RP11-96O20.1-006
ENSG00000179362	RP11-96O20.1-007
ENSG00000179362	RP11-96O20.1-008
ENSG00000179412	CH17-409J4.3-001
ENSG00000179428	AC073072.5-001
ENSG00000179447	RP5-1027G4.3-001
ENSG00000179452	RP11-380B22.1-001
ENSG00000179460	AC007095.2-001
ENSG00000179523	RP11-151N17.2-001
ENSG00000179523	RP11-151N17.2-002
ENSG00000179523	RP11-151N17.2-003
ENSG00000179523	RP11-151N17.2-004
ENSG00000179523	RP11-151N17.2-005
ENSG00000179577	KB-1552D7.2-001
ENSG00000179577	KB-1552D7.2-201
ENSG00000179611	RP11-5G9.4-001
ENSG00000179743	RP11-169K16.9-001
ENSG00000179755	CTD-2144E22.5-001
ENSG00000179818	AC136007.2-001
ENSG00000179818	AC136007.2-002
ENSG00000179818	AC136007.2-003
ENSG00000179818	AC136007.2-004
ENSG00000179818	AC136007.2-005
ENSG00000179818	AC136007.2-006
ENSG00000179818	AC136007.2-007
