salmon_Module-KEGG_Ensembl-Gene-Rankings.txt	
salmon_Module-KEGG_Ensembl-Gene-Rankings.txt	GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
salmon_Module-KEGG_Ensembl-Gene-Rankings.txt	ENSG00000159423	ALDH4A1	aldehyde dehydrogenase 4 family, member A1 [Source:HGNC Symbol;Acc:HGNC:406]	1	0.125	ENSG00000159423	Arginine and proline metabolism:KEGG-hsa00330
salmon_Module-KEGG_Ensembl-Gene-Rankings.txt	ENSG00000142798	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	1	0.125	ENSG00000142798	ECM-receptor interaction:KEGG-hsa04512
salmon_Module-KEGG_Ensembl-Gene-Rankings.txt	ENSG00000138413	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble [Source:HGNC Symbol;Acc:HGNC:5382]	1	0.125	ENSG00000138413	Glutathione metabolism:KEGG-hsa00480
salmon_Module-KEGG_Ensembl-Gene-Rankings.txt	ENSG00000134202	GSTM3	glutathione S-transferase mu 3 (brain) [Source:HGNC Symbol;Acc:HGNC:4635]	1	0.125	ENSG00000134202	Glutathione metabolism:KEGG-hsa00480
salmon_Module-GO_Ensembl-Gene-Rankings.txt	
salmon_Module-GO_Ensembl-Gene-Rankings.txt	GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000233276	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	14	0.424242424242	ENSG00000233276	developmental growth // response to toxic substance // oxoacid metabolic process // ameboidal-type cell migration // angiogenesis // sulfur compound binding // regeneration // epithelial cell development // amide binding // response to nutrient // tissue development // modified amino acid binding // sulfur compound metabolic process // response to steroid hormone
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000188157	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	14	0.424242424242	ENSG00000188157	regulation of developmental growth // oxoacid metabolic process // retinoid metabolic process // sulfur compound binding // extracellular space // extracellular structure organization // metal ion binding // detection of visible light // extracellular matrix // basal lamina // laminin binding // basement membrane // extracellular region // sulfur compound metabolic process
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000142798	HSPG2	heparan sulfate proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:5273]	14	0.424242424242	ENSG00000142798	oxoacid metabolic process // angiogenesis // retinoid metabolic process // extracellular space // extracellular structure organization // metal ion binding // embryonic morphogenesis // detection of visible light // tissue development // extracellular matrix // basal lamina // basement membrane // extracellular region // sulfur compound metabolic process
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000130702	LAMA5	laminin, alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	13	0.393939393939	ENSG00000130702	substrate adhesion-dependent cell spreading // cellular component assembly involved in morphogenesis // ameboidal-type cell migration // angiogenesis // extracellular space // extracellular structure organization // embryonic morphogenesis // integrin binding // laminin complex // extracellular matrix // basal lamina // basement membrane // extracellular region
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000172037	LAMB2	laminin, beta 2 (laminin S) [Source:HGNC Symbol;Acc:HGNC:6487]	10	0.30303030303	ENSG00000172037	developmental growth // extracellular structure organization // epithelial cell development // integrin binding // tissue development // laminin complex // extracellular matrix // basal lamina // basement membrane // extracellular region
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000135862	LAMC1	laminin, gamma 1 (formerly LAMB2) [Source:HGNC Symbol;Acc:HGNC:6492]	10	0.30303030303	ENSG00000135862	extracellular matrix structural constituent // substrate adhesion-dependent cell spreading // extracellular space // extracellular structure organization // tissue development // laminin complex // extracellular matrix // basal lamina // basement membrane // extracellular region
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000166333	ILK	integrin-linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]	8	0.242424242424	ENSG00000166333	regulation of developmental growth // substrate adhesion-dependent cell spreading // cellular component assembly involved in morphogenesis // cell-matrix adhesion // ameboidal-type cell migration // extracellular structure organization // integrin binding // contractile fiber part
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000116962	NID1	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	8	0.242424242424	ENSG00000116962	cell-matrix adhesion // extracellular structure organization // metal ion binding // extracellular matrix // basal lamina // laminin binding // basement membrane // extracellular region
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000162551	ALPL	alkaline phosphatase, liver/bone/kidney [Source:HGNC Symbol;Acc:HGNC:438]	7	0.212121212121	ENSG00000162551	response to toxic substance // extracellular space // metal ion binding // response to nutrient // tissue development // extracellular matrix // response to steroid hormone
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000112769	LAMA4	laminin, alpha 4 [Source:HGNC Symbol;Acc:HGNC:6484]	7	0.212121212121	ENSG00000112769	extracellular matrix structural constituent // extracellular structure organization // laminin complex // extracellular matrix // basal lamina // basement membrane // extracellular region
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000175198	PCCA	propionyl CoA carboxylase, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:8653]	6	0.181818181818	ENSG00000175198	oxoacid metabolic process // sulfur compound binding // metal ion binding // amide binding // extracellular region // sulfur compound metabolic process
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000140545	MFGE8	milk fat globule-EGF factor 8 protein [Source:HGNC Symbol;Acc:HGNC:7036]	6	0.181818181818	ENSG00000140545	angiogenesis // extracellular space // integrin binding // extracellular matrix // modified amino acid binding // extracellular region
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000134202	GSTM3	glutathione S-transferase mu 3 (brain) [Source:HGNC Symbol;Acc:HGNC:4635]	6	0.181818181818	ENSG00000134202	sulfur compound binding // epithelial cell development // amide binding // modified amino acid binding // sulfur compound metabolic process // response to steroid hormone
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000087303	NID2	nidogen 2 (osteonidogen) [Source:HGNC Symbol;Acc:HGNC:13389]	6	0.181818181818	ENSG00000087303	cell-matrix adhesion // extracellular structure organization // metal ion binding // extracellular matrix // basement membrane // extracellular region
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000171766	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:HGNC Symbol;Acc:HGNC:4175]	5	0.151515151515	ENSG00000171766	developmental growth // oxoacid metabolic process // regeneration // response to nutrient // tissue development
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000142910	TINAGL1	tubulointerstitial nephritis antigen-like 1 [Source:HGNC Symbol;Acc:HGNC:19168]	5	0.151515151515	ENSG00000142910	extracellular matrix structural constituent // extracellular space // extracellular matrix // laminin binding // extracellular region
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000084674	APOB	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	5	0.151515151515	ENSG00000084674	retinoid metabolic process // sulfur compound binding // extracellular space // detection of visible light // extracellular region
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000138413	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble [Source:HGNC Symbol;Acc:HGNC:5382]	4	0.121212121212	ENSG00000138413	oxoacid metabolic process // metal ion binding // sulfur compound metabolic process // response to steroid hormone
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000133392	MYH11	myosin, heavy chain 11, smooth muscle [Source:HGNC Symbol;Acc:HGNC:7569]	3	0.0909090909091	ENSG00000133392	cellular component assembly involved in morphogenesis // extracellular structure organization // contractile fiber part
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000117298	ECE1	endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]	3	0.0909090909091	ENSG00000117298	metal ion binding // embryonic morphogenesis // amide binding
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000243989	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	2	0.0606060606061	ENSG00000243989	oxoacid metabolic process // metal ion binding
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000163110	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	2	0.0606060606061	ENSG00000163110	metal ion binding // contractile fiber part
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000131471	AOC3	amine oxidase, copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]	2	0.0606060606061	ENSG00000131471	response to toxic substance // metal ion binding
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000126861	OMG	oligodendrocyte myelin glycoprotein [Source:HGNC Symbol;Acc:HGNC:8135]	2	0.0606060606061	ENSG00000126861	regulation of developmental growth // regeneration
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000103876	FAH	fumarylacetoacetate hydrolase (fumarylacetoacetase) [Source:HGNC Symbol;Acc:HGNC:3579]	2	0.0606060606061	ENSG00000103876	oxoacid metabolic process // metal ion binding
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000092841	MYL6	myosin, light chain 6, alkali, smooth muscle and non-muscle [Source:HGNC Symbol;Acc:HGNC:7587]	2	0.0606060606061	ENSG00000092841	metal ion binding // tissue development
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000082212	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial [Source:HGNC Symbol;Acc:HGNC:6984]	2	0.0606060606061	ENSG00000082212	oxoacid metabolic process // metal ion binding
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000079739	PGM1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	2	0.0606060606061	ENSG00000079739	oxoacid metabolic process // metal ion binding
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000185567	AHNAK2	AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]	1	0.030303030303	ENSG00000185567	contractile fiber part
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000168522	FNTA	farnesyltransferase, CAAX box, alpha [Source:HGNC Symbol;Acc:HGNC:3782]	1	0.030303030303	ENSG00000168522	detection of visible light
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000167986	DDB1	damage-specific DNA binding protein 1, 127kDa [Source:HGNC Symbol;Acc:HGNC:2717]	1	0.030303030303	ENSG00000167986	extracellular space
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000159423	ALDH4A1	aldehyde dehydrogenase 4 family, member A1 [Source:HGNC Symbol;Acc:HGNC:406]	1	0.030303030303	ENSG00000159423	oxoacid metabolic process
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000116791	CRYZ	crystallin, zeta (quinone reductase) [Source:HGNC Symbol;Acc:HGNC:2419]	1	0.030303030303	ENSG00000116791	metal ion binding
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000115042	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A [Source:HGNC Symbol;Acc:HGNC:24252]	1	0.030303030303	ENSG00000115042	metal ion binding
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000102189	EEA1	early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]	1	0.030303030303	ENSG00000102189	metal ion binding
salmon_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000079931	MOXD1	monooxygenase, DBH-like 1 [Source:HGNC Symbol;Acc:HGNC:21063]	1	0.030303030303	ENSG00000079931	metal ion binding
magenta_Module-local_Ensembl-Gene-Rankings.txt	
magenta_Module-local_Ensembl-Gene-Rankings.txt	GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
magenta_Module-local_Ensembl-Gene-Rankings.txt	ENSG00000197971	MBP	myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	1	0.5	ENSG00000197971	Glial Cell Differentiation:WP2276
magenta_Module-local_Ensembl-Gene-Rankings.txt	ENSG00000173786	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	1	0.5	ENSG00000173786	Glial Cell Differentiation:WP2276
magenta_Module-local_Ensembl-Gene-Rankings.txt	ENSG00000168036	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa [Source:HGNC Symbol;Acc:HGNC:2514]	1	0.5	ENSG00000168036	Ectoderm Differentiation:WP2858
magenta_Module-local_Ensembl-Gene-Rankings.txt	ENSG00000124570	SERPINB6	serpin peptidase inhibitor, clade B (ovalbumin), member 6 [Source:HGNC Symbol;Acc:HGNC:8950]	1	0.5	ENSG00000124570	Ectoderm Differentiation:WP2858
magenta_Module-local_Ensembl-Gene-Rankings.txt	ENSG00000123560	PLP1	proteolipid protein 1 [Source:HGNC Symbol;Acc:HGNC:9086]	1	0.5	ENSG00000123560	Glial Cell Differentiation:WP2276
magenta_Module-local_Ensembl-Gene-Rankings.txt	ENSG00000105695	MAG	myelin associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:6783]	1	0.5	ENSG00000105695	Glial Cell Differentiation:WP2276
magenta_Module-local_Ensembl-Gene-Rankings.txt	ENSG00000066032	CTNNA2	catenin (cadherin-associated protein), alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	1	0.5	ENSG00000066032	Ectoderm Differentiation:WP2858
purple_Module-GO_Ensembl-Gene-Rankings.txt	
purple_Module-GO_Ensembl-Gene-Rankings.txt	GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000044574	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) [Source:HGNC Symbol;Acc:HGNC:5238]	17	0.207317073171	ENSG00000044574	endoplasmic reticulum // endoplasmic reticulum lumen // endoplasmic reticulum membrane // unfolded protein binding // intrinsic component of endoplasmic reticulum membrane // ER-nucleus signaling pathway // response to toxic substance // mitochondrion // response to endoplasmic reticulum stress // calcium ion binding // cell surface // endoplasmic reticulum-Golgi intermediate compartment // pigment granule // maintenance of protein location // cellular response to starvation // ER-associated ubiquitin-dependent protein catabolic process // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000179218	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	16	0.19512195122	ENSG00000179218	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // unfolded protein binding // intrinsic component of endoplasmic reticulum membrane // ER-nucleus signaling pathway // protein maturation // response to endoplasmic reticulum stress // calcium ion binding // cell surface // post-translational protein modification // sequestering of metal ion // extracellular matrix // Golgi apparatus // protein N-linked glycosylation via asparagine // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000105974	CAV1	caveolin 1, caveolae protein, 22kDa [Source:HGNC Symbol;Acc:HGNC:1527]	16	0.19512195122	ENSG00000105974	endoplasmic reticulum // negative regulation of binding // Golgi membrane // intrinsic component of plasma membrane // lipid particle // membrane raft organization // positive regulation of calcium ion transport into cytosol // regulation of fatty acid metabolic process // reactive oxygen species metabolic process // maintenance of protein location // positive regulation of blood circulation // cellular response to starvation // cholesterol homeostasis // Golgi apparatus // receptor-mediated endocytosis // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000170348	TMED10	transmembrane emp24-like trafficking protein 10 (yeast) [Source:HGNC Symbol;Acc:HGNC:16998]	12	0.146341463415	ENSG00000170348	endoplasmic reticulum // endoplasmic reticulum-Golgi intermediate compartment membrane // endoplasmic reticulum membrane // Golgi membrane // endoplasmic reticulum-Golgi intermediate compartment // trans-Golgi network transport vesicle // pigment granule // membrane budding // Golgi apparatus // Golgi organization // retrograde vesicle-mediated transport, Golgi to ER // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000127022	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	12	0.146341463415	ENSG00000127022	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // endoplasmic reticulum membrane // unfolded protein binding // intrinsic component of endoplasmic reticulum membrane // calcium ion binding // pigment granule // post-translational protein modification // protein N-linked glycosylation via asparagine // receptor-mediated endocytosis // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000074695	LMAN1	lectin, mannose-binding, 1 [Source:HGNC Symbol;Acc:HGNC:6631]	12	0.146341463415	ENSG00000074695	protein folding // endoplasmic reticulum-Golgi intermediate compartment membrane // endoplasmic reticulum membrane // unfolded protein binding // Golgi membrane // endoplasmic reticulum-Golgi intermediate compartment // post-translational protein modification // Golgi apparatus // Golgi organization // protein N-linked glycosylation via asparagine // mannose binding // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000167004	PDIA3	protein disulfide isomerase family A, member 3 [Source:HGNC Symbol;Acc:HGNC:4606]	11	0.134146341463	ENSG00000167004	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // response to endoplasmic reticulum stress // cell surface // protein disulfide isomerase activity // pigment granule // post-translational protein modification // maintenance of protein location // cell redox homeostasis // protein N-linked glycosylation via asparagine
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000166598	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	11	0.134146341463	ENSG00000166598	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // endoplasmic reticulum membrane // unfolded protein binding // ER-nucleus signaling pathway // response to endoplasmic reticulum stress // calcium ion binding // pigment granule // sequestering of metal ion // ER-associated ubiquitin-dependent protein catabolic process
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000143870	PDIA6	protein disulfide isomerase family A, member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	11	0.134146341463	ENSG00000143870	protein folding // endoplasmic reticulum // apoptotic cell clearance // endoplasmic reticulum lumen // endoplasmic reticulum membrane // ER-nucleus signaling pathway // response to endoplasmic reticulum stress // protein disulfide isomerase activity // endoplasmic reticulum-Golgi intermediate compartment // pigment granule // cell redox homeostasis
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000137642	SORL1	sortilin-related receptor, L(DLR class) A repeats containing [Source:HGNC Symbol;Acc:HGNC:11185]	11	0.134146341463	ENSG00000137642	endoplasmic reticulum // negative regulation of binding // lysosomal transport // intrinsic component of plasma membrane // protein maturation // maintenance of protein location // Golgi apparatus // steroid metabolic process // transmembrane signaling receptor activity // receptor-mediated endocytosis // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000023228	NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7707]	11	0.134146341463	ENSG00000023228	mitochondrion // mitochondrial membrane part // electron transport chain // mitochondrial intermembrane space // reactive oxygen species metabolic process // NADH dehydrogenase activity // 4 iron, 4 sulfur cluster binding // 2 iron, 2 sulfur cluster binding // organelle inner membrane // oxidoreductase complex // cellular respiration
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000185624	P4HB	prolyl 4-hydroxylase, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:8548]	10	0.121951219512	ENSG00000185624	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // response to endoplasmic reticulum stress // calcium ion binding // protein disulfide isomerase activity // endoplasmic reticulum-Golgi intermediate compartment // pigment granule // cell redox homeostasis // oxidoreductase complex
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000169223	LMAN2	lectin, mannose-binding 2 [Source:HGNC Symbol;Acc:HGNC:16986]	10	0.121951219512	ENSG00000169223	endoplasmic reticulum-Golgi intermediate compartment membrane // endoplasmic reticulum membrane // Golgi membrane // intrinsic component of plasma membrane // cell surface // endoplasmic reticulum-Golgi intermediate compartment // Golgi apparatus // retrograde vesicle-mediated transport, Golgi to ER // mannose binding // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:HGNC:12585]	10	0.121951219512	ENSG00000010256	respiratory chain // mitochondrion // mitochondrial membrane part // electron transport chain // transmembrane transport // organelle inner membrane // oxidoreductase complex // cytochrome complex // cellular respiration // oxidative phosphorylation
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000184840	TMED9	transmembrane emp24 protein transport domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24878]	9	0.109756097561	ENSG00000184840	endoplasmic reticulum // endoplasmic reticulum-Golgi intermediate compartment membrane // endoplasmic reticulum membrane // Golgi membrane // endoplasmic reticulum-Golgi intermediate compartment // trans-Golgi network transport vesicle // Golgi apparatus // Golgi organization // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000169021	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:12587]	9	0.109756097561	ENSG00000169021	response to toxic substance // mitochondrion // mitochondrial membrane part // electron transport chain // transmembrane transport // 2 iron, 2 sulfur cluster binding // organelle inner membrane // oxidoreductase complex // cytochrome complex
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000163956	LRPAP1	low density lipoprotein receptor-related protein associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6701]	9	0.109756097561	ENSG00000163956	cargo receptor activity // protein folding // endoplasmic reticulum // negative regulation of binding // endoplasmic reticulum lumen // unfolded protein binding // cell surface // receptor-mediated endocytosis // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000156467	UQCRB	ubiquinol-cytochrome c reductase binding protein [Source:HGNC Symbol;Acc:HGNC:12582]	9	0.109756097561	ENSG00000156467	respiratory chain // mitochondrion // mitochondrial membrane part // electron transport chain // organelle inner membrane // oxidoreductase complex // cytochrome complex // cellular respiration // oxidative phosphorylation
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000155660	PDIA4	protein disulfide isomerase family A, member 4 [Source:HGNC Symbol;Acc:HGNC:30167]	9	0.109756097561	ENSG00000155660	protein folding // endoplasmic reticulum // endoplasmic reticulum lumen // response to endoplasmic reticulum stress // calcium ion binding // cell surface // protein disulfide isomerase activity // pigment granule // cell redox homeostasis
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000141458	NPC1	Niemann-Pick disease, type C1 [Source:HGNC Symbol;Acc:HGNC:7897]	9	0.109756097561	ENSG00000141458	endoplasmic reticulum // lysosomal transport // intrinsic component of plasma membrane // membrane raft organization // cholesterol homeostasis // Golgi apparatus // steroid metabolic process // transmembrane signaling receptor activity // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000117118	SDHB	succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:HGNC Symbol;Acc:HGNC:10681]	9	0.109756097561	ENSG00000117118	tricarboxylic acid cycle // mitochondrion // mitochondrial membrane part // electron transport chain // 4 iron, 4 sulfur cluster binding // 2 iron, 2 sulfur cluster binding // organelle inner membrane // oxidoreductase complex // cellular respiration
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000023318	ERP44	endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]	9	0.109756097561	ENSG00000023318	protein folding // endoplasmic reticulum lumen // endoplasmic reticulum membrane // response to endoplasmic reticulum stress // calcium ion binding // cell surface // protein disulfide isomerase activity // endoplasmic reticulum-Golgi intermediate compartment // cell redox homeostasis
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000198363	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	8	0.0975609756098	ENSG00000198363	endoplasmic reticulum // endoplasmic reticulum lumen // endoplasmic reticulum membrane // intrinsic component of endoplasmic reticulum membrane // calcium ion binding // positive regulation of calcium ion transport into cytosol // transmembrane transport // integral component of membrane
purple_Module-GO_Ensembl-Gene-Rankings.txt	ENSG00000182718	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	8	0.0975609756098	ENSG00000182718	lipid particle // membrane raft organization // calcium ion binding // cell surface // pigment granule // membrane budding // extracellular matrix // S100 protein binding
